"IDUser","Firstname","Lastname","Username","Email","Password","Salt","RefreshToken","IsAdmin","SeesAds","Coins","Highscore","Itemspurchased","Coinsspent","Coinsgathered","Timespassed","Avatar","CreatedDate","IsActive",
"1","Giles","Lakin","isabella49","fortiz@example.org","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"2","Lyla","Kreiger","cleve.abernathy","aurelie.gleason@example.com","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"3","Kaia","Hessel","flossie74","dicki.raquel@example.com","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"4","Hobart","Luettgen","christa56","ktremblay@example.org","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"5","Dock","Hoppe","kjohnston","keith21@example.net","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"6","Keanu","Terry","price83","jerald.robel@example.org","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"7","Anastacio","Cole","welch.jaydon","jayde.langworth@example.net","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"8","Ruthe","Bayer","ernser.kory","o'connell.alfreda@example.com","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"9","Tara","Farrell","joshua91","uhaley@example.org","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"10","Vada","Wiegand","vhowell","shyanne40@example.net","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"11","Selmer","O'Connell","pgrimes","gaylord.rosalinda@example.net","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"12","Randi","Hagenes","karine.jacobi","taylor00@example.net","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"13","Alison","Reilly","keebler.annetta","natasha29@example.org","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"14","Mozelle","Murray","gulgowski.ila","zbeier@example.org","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"15","Albin","Hilll","citlalli.keebler","edwardo74@example.org","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"16","Haleigh","Ebert","luettgen.estel","nboehm@example.com","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"17","Jacynthe","Nolan","trantow.harvey","terrill.funk@example.org","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"18","Elisa","Stanton","natalia.quigley","bethel61@example.org","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"19","Lexi","Christiansen","vboyer","murphy.astrid@example.net","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"20","Alisa","Romaguera","mose05","zack.ruecker@example.com","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"21","Easton","Grimes","lavon.lebsack","feeney.ulises@example.net","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"22","Guido","Ledner","devan69","gloria.kautzer@example.net","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"23","Claudia","Roob","adella89","russell54@example.net","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"24","Darrick","Schneider","hilll.courtney","stokes.kurt@example.net","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"25","Kayleigh","Spinka","haskell23","kutch.ludie@example.com","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"26","Kelsi","Russel","robel.clint","waters.sadye@example.org","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"27","Leann","Dicki","vgrady","sawayn.pinkie@example.net","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"28","Robin","Lueilwitz","golden16","harber.maegan@example.org","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"29","Jennifer","Davis","reynold.greenfelder","dglover@example.org","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"30","Chadd","Frami","lia.rogahn","sonya62@example.com","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"31","Estrella","Gerhold","khermiston","enola48@example.net","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"32","Lorenzo","Rolfson","brionna55","naomie.okuneva@example.net","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"33","Araceli","Heidenreich","jedediah65","dnikolaus@example.com","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"34","Abbigail","Schulist","volkman.emmanuelle","heather.hermiston@example.com","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"35","Marcel","Kessler","yundt.jaunita","casper.meghan@example.net","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"36","Pauline","Nikolaus","qtowne","francis79@example.net","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"37","Dejah","Emmerich","mohr.nakia","carolyn.mcclure@example.org","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"38","Marianne","Dicki","xkoch","kathleen.kling@example.net","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"39","Myra","Bednar","eschumm","ygraham@example.org","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"40","Giovanni","Kerluke","helmer65","xmarks@example.org","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"41","Rafael","Hoppe","zhodkiewicz","bednar.jordy@example.com","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"42","Adam","Waters","hermann41","sspinka@example.com","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"43","Quentin","Daniel","dickinson.vince","vdavis@example.org","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"44","Alexys","Mertz","lonny.armstrong","zena05@example.net","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"45","Brandy","Zboncak","archibald60","john.ritchie@example.net","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"46","Tremaine","Blick","carrie80","xrutherford@example.net","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"47","Dylan","Keebler","bret73","ashlynn.heaney@example.com","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"48","Nelda","Lynch","mathilde.keebler","schuyler.williamson@example.com","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"49","Durward","Muller","oo'connell","jefferey85@example.net","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"50","Billie","Wisoky","koelpin.brian","francisca.bernier@example.com","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"51","Tatyana","Romaguera","vita01","buckridge.liliane@example.com","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"52","Cathryn","Cummings","bschiller","murphy.diego@example.com","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"53","Jayden","Emard","marjolaine.zieme","melba26@example.com","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"54","Owen","Hansen","boyle.lydia","margret17@example.com","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"55","Carley","Langosh","river21","alfredo72@example.com","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"56","Cooper","Quigley","mekhi66","nader.paul@example.com","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"57","Scottie","Cruickshank","margaretta98","jonathon.dubuque@example.org","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"58","Carmela","Mayer","ymitchell","wiza.ruthe@example.net","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"59","Joshua","Emard","stanton.heaney","hiram64@example.net","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"60","Cade","Macejkovic","wisoky.dawson","kilback.zola@example.com","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"61","Nicole","Mertz","jacky97","romaguera.ivah@example.com","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"62","Reynold","Quigley","royce.runte","julia.green@example.net","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"63","Adolphus","Schiller","kdicki","vgutmann@example.net","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"64","Anais","Zemlak","msmitham","alek.kshlerin@example.com","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"65","Ted","Weissnat","madalyn55","verla74@example.org","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"66","Felipe","Hilll","feeney.maryse","lexie74@example.org","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
"67","Quinten","Howe","jpouros","kari.flatley@example.net","","","","0","1","0","0","0","0","0","0","","2022-04-10 12:31:24","1",
